"period","respondent","respondent.name","type.name","value","value.units","date","hour","year","month","dayofweek","BGE_Rebate"
"2020-01-09T08","PJM","PJM Interconnection, LLC","Demand",92828,"megawatthours",2020-01-09,8,2020,1,"Thursday",0
"2020-01-09T07","PJM","PJM Interconnection, LLC","Demand",93027,"megawatthours",2020-01-09,7,2020,1,"Thursday",0
"2020-01-09T06","PJM","PJM Interconnection, LLC","Demand",94285,"megawatthours",2020-01-09,6,2020,1,"Thursday",0
"2020-01-09T05","PJM","PJM Interconnection, LLC","Demand",96181,"megawatthours",2020-01-09,5,2020,1,"Thursday",0
"2020-01-09T04","PJM","PJM Interconnection, LLC","Demand",99458,"megawatthours",2020-01-09,4,2020,1,"Thursday",0
"2020-01-09T03","PJM","PJM Interconnection, LLC","Demand",104234,"megawatthours",2020-01-09,3,2020,1,"Thursday",0
"2020-01-09T02","PJM","PJM Interconnection, LLC","Demand",107001,"megawatthours",2020-01-09,2,2020,1,"Thursday",0
"2020-01-09T01","PJM","PJM Interconnection, LLC","Demand",108090,"megawatthours",2020-01-09,1,2020,1,"Thursday",0
"2020-01-09T00","PJM","PJM Interconnection, LLC","Demand",108432,"megawatthours",2020-01-09,0,2020,1,"Thursday",0
"2020-01-10T23","PJM","PJM Interconnection, LLC","Demand",93768,"megawatthours",2020-01-10,23,2020,1,"Friday",0
